Title,Alternative title,Id
Chillin' in Another World with Level 2 Super Cheat Powers,Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life,41100
Chillin' in My 30s after Getting Fired from the Demon King's Army,Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,34888
Chio's School Road,Chio-chan no Tsuugakuro,34655
Chivalry of a Failed Knight,Rakudai Kishi no Cavalry,3211
Chou Henshin Cosprayers,Cosprayers,31533
Chrome Shelled Regios,Koukaku no Regios,15915
Chronicles of the Going Home Club,Kitakubu Katsudou Kiroku,19224
Chronos Ruler,Jikan no Shihaisha,19488
Chu-Bra!!,,10625
Cinderella Nine,Hachigatsu no Cinderella Nine,17182
Circlet Princess,,23515
Citrus,,33258
Clannad,,3918
Clannad: After Story,Clannad S2,25829
Classroom Crisis,,2789
Classroom for Heroes,Eiyuu Kyoushitsu,37321
Classroom of the Elite,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,13536
Classroom of the Elite II,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,31081
Classroom of the Elite III,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,39615
Claymore,,4715
Cleopatra D.C.,Cleopatra DC,41058
Clockwork Planet,,8782
Code Geass: Akito the Exiled,Code Geass: Bōkoku no Akito,21635
Code Geass: Lelouch of the Rebellion,Code Geass: Hangyaku no Lelouch,2648
Code: Breaker,,31648
Code:Realize Guardian of Rebirth,Code:Realize - Sousei no Himegimi,19147
Coluboccoro,,31917
Combatants Will Be Dispatched!,"Sentouin, Hakenshimasu!",21667
Comic Girls,,14227
Comic Party,,12370
Conception,,15144
Concrete Revolutio,,6902
Cool Cool Bye,,31919
Cop Craft,,17234
Cosplay Complex,,41070
Cowboy Bebop,,3092
Crest of the Stars,Seikai no Monshou,16149
Cross Ange: Rondo of Angel and Dragon,Cross Ange: Tenshi to Ryuu no Rondo,21846
Cue!,,30040
Cutey Honey,,13214
Cuticle Detective Inaba,Cuticle Tantei Inaba,40988
Cutie Honey Universe,,14293
Cyber City Oedo 808,,38231
Cyberpunk: Edgerunners,,32618
Cyborg 009 vs. Devilman,,38195
D.Gray-man Hallow,,5447
D4 Princess,,11299
D4DJ First Mix,,31207
Daimidaler: Prince vs. Penguin Empire,Kenzen Robo Daimidaler,41339
Dallos,,31669
Dance with Devils,,19108
Danganronpa 3: The End of Hope's Peak High School: Despair Arc,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou Hen,7792
Danganronpa 3: The End of Hope's Peak High School: Future Arc,Danganronpa 3: The End of Kibougamine Gakuen - Mirai Hen,7779
