Title,Season,Id
Spider-Man and His Amazing Friends,1,8593
Spider-Man and His Amazing Friends,2,8654
Spider-Man and His Amazing Friends,3,8663
Spider-Man Unlimited,1,1311
Spider-Man: The Animated Series,1,8585
Spider-Man: The Animated Series,2,8602
Spider-Man: The Animated Series,3,8623
Spider-Man: The Animated Series,4,8640
Spider-Man: The Animated Series,5,8671
Spider-Woman (1979),1,28465
"Spider-Woman, Agent of S.W.O.R.D.",1,16653
Spidey and His Amazing Friends,1,22857
SpongeBob SquarePants,1,4061
SpongeBob SquarePants,10,4827
SpongeBob SquarePants,11,4850
SpongeBob SquarePants,2,4379
SpongeBob SquarePants,3,4636
SpongeBob SquarePants,4,4657
SpongeBob SquarePants,5,4678
SpongeBob SquarePants,6,4699
SpongeBob SquarePants,7,4725
SpongeBob SquarePants,8,4751
SpongeBob SquarePants,9,4777
Squid Game,1,10597
Star (2016),1,27962
Star (2016),2,28295
Star Trek: Lower Decks,1,4535
Star Trek: Lower Decks,2,15009
Star Trek: Lower Decks,3,19479
Star Trek: Lower Decks,4,28006
Star Trek: Prodigy,1,19576
Star Trek: The Animated Series,1,19552
Star Trek: The Animated Series,2,19569
Star vs. the Forces of Evil,1,2626
Star vs. the Forces of Evil,2,2640
Star vs. the Forces of Evil,3,2663
Star vs. the Forces of Evil,4,2685
Star Wars Rebels,1,2830
Star Wars Rebels,2,2897
Star Wars Rebels,3,3573
Star Wars Rebels,4,3595
Star Wars Resistance,1,4596
Star Wars Resistance,2,8753
Star Wars: Droids,1,8542
Star Wars: Ewoks,1,8545
Star Wars: Ewoks,2,8571
Star Wars: Forces of Destiny,1,14883
Star Wars: The Bad Batch,1,7444
Star Wars: The Clone Wars,1,2920
Star Wars: The Clone Wars,2,3128
Star Wars: The Clone Wars,3,3492
Star Wars: The Clone Wars,4,3515
Star Wars: The Clone Wars,5,3538
Star Wars: The Clone Wars,6,3559
Star Wars: The Clone Wars,7,21256
Star Wars: Visions,1,8751
Star Wars: Visions,2,21037
Stargirl,1,10637
Static Shock,1,8072
Static Shock,2,28427
Steven Universe Future,1,4575
Steven Universe,1,18810
Steven Universe,2,18864
Steven Universe,3,18894
Steven Universe,4,61
Steven Universe,5,18919
Stillwater,1,14563
Stoked,1,27453
Stoked,2,14378
Strange Planet,1,27882
Stranger Things,1,281
Stranger Things,2,249
Stranger Things,3,2585
Stranger Things,4,21828
Street Fighter: Resurrection,1,3368
Street Sharks,1,7250
Street Sharks,2,7254
Street Sharks,3,7265
Stripperella,1,6895
Summer Camp Island,1,2738
Summer Camp Island,2,11556
Summer Camp Island,3,11577
Summer Camp Island,4,11590
Summer Camp Island,5,17652
Super Friends,1,11438
Super Friends,2,17214
Super Friends,3,17230
Super Friends,4,17543
Super Mario World,1,7295
Super Robot Monkey Team Hyperforce Go!,1,11372
Super Robot Monkey Team Hyperforce Go!,2,11396
Super Robot Monkey Team Hyperforce Go!,3,11410
Super Robot Monkey Team Hyperforce Go!,4,11424
Supergirl,1,26488
Supergirl,2,26542
Supergirl,3,26588
Supergirl,4,26674
Supergirl,5,26792
Supergirl,6,26858
Superjail!,2,3463
Superjail!,1,3427
Superjail!,3,3474
Superjail!,4,3485
Superman,1,19615
Superman: The Animated Series,1,14651
Superman: The Animated Series,2,14665
Superman: The Animated Series,3,14778
Superman: The Animated Series,4,14789
